Program,ML_course,IR_course,Stats_course,Databases_course,Gender,Chocolate,Age,Neighbors,Stand,Stress,Euros,Random_number,Bedtime,Good_day_1,Good_day_2
Business,yes,0,mu,nee,male,fat,21.0,2.0,no,30.0,100.0,12.0,3.0,sleep,food
Business,yes,0,mu,nee,male,fat,24.0,0.0,no,40.0,20.0,6.0,2.0,productivity,other
Other,no,unknown,sigma,nee,female,fat,27.0,3.0,no,60.0,30.0,19.0,11.0,food,food
Beta,yes,0,mu,nee,male,fat,23.0,0.0,no,100.0,20.0,8.0,0.0,other,drinks
Beta,yes,0,sigma,ja,male,fat,24.0,0.0,no,50.0,1.0,728.0,0.0,sleep,food
Business,yes,1,mu,ja,male,fat,26.0,1.0,no,70.0,8.0,10.0,1.0,drinks,food
Business,yes,0,mu,ja,female,neither,26.0,0.0,no,40.0,50.0,5.0,10.0,other,socialize
Business,yes,1,mu,ja,male,fat,23.0,0.0,no,0.0,100.0,9.0,2.0,drinks,other
Beta,no,0,mu,nee,female,I have no idea what you are talking about,25.0,0.0,no,40.0,5.0,20.0,2.0,friends,food
Beta,yes,1,mu,ja,male,fat,23.0,0.0,no,0.0,25.0,7.0,0.0,other,sleep
Beta,yes,0,mu,nee,male,fat,27.0,0.0,no,75.0,0.0,3587.0,8.0,other,other
Beta,no,1,mu,ja,female,slim,23.0,1.0,no,25.0,5.0,9.0,11.0,food,socialize
Beta,yes,1,mu,ja,male,fat,23.0,0.0,no,20.0,4515169791.764706,3.0,11.0,productivity,socialize
Beta,no,1,mu,ja,female,neither,24.72429906542056,0.0,no,75.0,100.0,5.0,7.0,weather,outside
Business,yes,0,mu,nee,male,fat,24.72429906542056,0.0,no,35.0,4515169791.764706,9.0,0.0,food,sleep
Beta,yes,0,mu,nee,male,fat,25.0,3.0,no,1.0,12.0,12.0,0.0,weather,music
Beta,yes,1,mu,ja,female,fat,24.72429906542056,2.0,no,20.0,5.0,8.0,0.0,other,food
Beta,yes,1,mu,ja,female,fat,27.0,6.0,no,86.0,5.0,42.0,11.0,friends,food
Beta,no,0,mu,ja,male,fat,26.0,0.0,no,72.0,5.0,9.0,11.0,food,reading
Beta,no,0,mu,nee,male,neither,24.0,1.0,no,10.0,0.0,2.1134547392206386e+35,1.0,weather,productivity
Business,no,0,mu,nee,male,fat,24.0,0.0,no,100.0,0.0,4.0,0.0,other,productivity
Business,yes,0,mu,ja,male,fat,24.72429906542056,0.0,no,60.0,5.0,9.0,0.0,productivity,productivity
Beta,yes,1,mu,ja,female,neither,24.72429906542056,0.0,no,10.0,4515169791.764706,4.0,4.0,other,other
Beta,no,0,mu,nee,female,fat,24.72429906542056,1.0,no,41.48736462093863,4515169791.764706,7.0,0.0,other,other
Business,yes,0,mu,nee,female,fat,28.0,4.0,no,60.0,50.0,7.0,1.0,other,sleep
Business,yes,0,sigma,ja,male,fat,22.0,0.0,no,30.0,1.0,8.0,1.0,food,other
Beta,no,0,mu,unknown,female,neither,28.0,3.6496350364963503,no,10.0,30.0,6.0,1.0,other,other
Beta,yes,0,mu,ja,male,fat,25.0,5.0,no,30.0,60.0,7.0,2.0,weather,socialize
Beta,yes,1,mu,nee,male,fat,27.0,2.0,no,69.0,5.0,6.0,1.0,other,other
Beta,no,0,mu,ja,male,fat,24.72429906542056,0.0,no,10.0,100.0,7.0,9.0,other,other
Beta,yes,1,mu,ja,male,neither,26.0,12.0,yes,60.0,75.0,42.0,1.0,other,food
Beta,no,0,mu,nee,female,neither,22.0,1.0,no,70.0,2.0,69.0,0.0,food,other
Beta,yes,1,sigma,nee,male,fat,25.0,0.0,no,30.0,10.0,-1.0,8.0,food,other
