Program,ML_course,IR_course,Stats_course,Databases_course,Gender,Chocolate,Age,Neighbors,Stand,Stress,Euros,Random_number,Bedtime,Good_day_1,Good_day_2
Beta,yes,0,mu,ja,male,I have no idea what you are talking about,23.0,0.0,no,5.0,5.0,22.0,6.0,productivity,socialize
Business,yes,1,mu,ja,male,neither,24.0,0.0,no,96.0,0.0,6.0,0.0,other,food
Beta,yes,1,mu,ja,male,neither,24.0,0.0,no,5.0,4515169791.764706,7.0,0.0,sport,food
Beta,yes,0,mu,ja,male,neither,27.0,0.0,no,90.0,90.0,6.0,0.0,food,other
Business,yes,0,mu,nee,male,neither,24.72429906542056,0.0,no,10.0,30.0,5.0,11.0,weather,music
Business,yes,0,mu,ja,male,fat,29.0,4.0,no,90.0,50.0,7.0,4.0,other,socialize
Beta,yes,0,mu,ja,female,neither,26.0,0.0,no,30.0,10.0,8.0,11.0,friends,outside
Beta,yes,0,mu,ja,male,neither,28.0,0.0,no,20.0,0.0,1.0,0.0,sleep,other
Beta,yes,0,sigma,nee,unknown,slim,30.0,0.0,unknown,99.0,4515169791.764706,4.0,2.0,other,other
Business,no,0,mu,nee,male,neither,24.0,1.0,no,78.0,4515169791.764706,6.0,1.0,other,food
Business,yes,0,mu,ja,male,fat,26.0,0.0,no,10.0,5.0,7.0,10.0,sport,sport
Business,yes,0,mu,ja,male,neither,28.0,2.0,no,70.0,10.0,7.0,2.0,drinks,food
Beta,yes,0,mu,nee,female,unknown,31.0,1.0,no,60.0,4515169791.764706,3.0,10.0,weather,other
Beta,no,0,mu,nee,male,I have no idea what you are talking about,23.0,0.0,no,50.0,100.0,10.0,1.0,other,music
Beta,yes,1,mu,ja,male,fat,25.0,0.0,no,60.0,1.0,10.0,11.0,drinks,food
Beta,yes,0,mu,nee,female,fat,23.0,1.0,no,5.0,4515169791.764706,3.0,10.0,weather,food
Beta,yes,0,mu,nee,male,fat,22.0,0.0,no,10.0,1.0,2.1134547392206386e+35,2.0,drinks,food
Business,yes,0,mu,ja,female,slim,22.0,0.0,no,32.0,4515169791.764706,5839235.0,11.0,sleep,food
